period,value_pct,series
2017-09,3.92,nfc_new_lending_rate_total_pct
2017-11,4.69,nfc_new_lending_rate_total_pct
2017-12,4.94,nfc_new_lending_rate_total_pct
2018-01,4.86,nfc_new_lending_rate_total_pct
2018-02,5.02,nfc_new_lending_rate_total_pct
2018-03,5.05,nfc_new_lending_rate_total_pct
2018-06,5.57,nfc_new_lending_rate_total_pct
2018-07,5.9,nfc_new_lending_rate_total_pct
2018-08,6.02,nfc_new_lending_rate_total_pct
2018-09,5.87,nfc_new_lending_rate_total_pct
2018-10,6.06,nfc_new_lending_rate_total_pct
2018-11,6.12,nfc_new_lending_rate_total_pct
2018-12,5.83,nfc_new_lending_rate_total_pct
2019-01,5.78,nfc_new_lending_rate_total_pct
2019-02,6.18,nfc_new_lending_rate_total_pct
2019-04,6.19,nfc_new_lending_rate_total_pct
2019-05,6.36,nfc_new_lending_rate_total_pct
2019-08,5.58,nfc_new_lending_rate_total_pct
2019-09,5.8,nfc_new_lending_rate_total_pct
2019-10,5.87,nfc_new_lending_rate_total_pct
2019-11,5.9,nfc_new_lending_rate_total_pct
2020-03,5.53,nfc_new_lending_rate_total_pct
2020-05,5.33,nfc_new_lending_rate_total_pct
2020-06,4.89,nfc_new_lending_rate_total_pct
2020-07,4.48,nfc_new_lending_rate_total_pct
2020-08,4.82,nfc_new_lending_rate_total_pct
2020-09,4.43,nfc_new_lending_rate_total_pct
2020-10,4.47,nfc_new_lending_rate_total_pct
2020-11,4.67,nfc_new_lending_rate_total_pct
2021-01,4.59,nfc_new_lending_rate_total_pct
2021-02,4.36,nfc_new_lending_rate_total_pct
2021-03,4.46,nfc_new_lending_rate_total_pct
2021-04,4.22,nfc_new_lending_rate_total_pct
2021-05,4.09,nfc_new_lending_rate_total_pct
2021-06,4.18,nfc_new_lending_rate_total_pct
2021-07,4.01,nfc_new_lending_rate_total_pct
2021-08,3.92,nfc_new_lending_rate_total_pct
2021-10,4.15,nfc_new_lending_rate_total_pct
2021-11,4.67,nfc_new_lending_rate_total_pct
2021-12,4.58,nfc_new_lending_rate_total_pct
2022-01,5.32,nfc_new_lending_rate_total_pct
2022-02,5.47,nfc_new_lending_rate_total_pct
2022-03,6.0,nfc_new_lending_rate_total_pct
2022-04,6.69,nfc_new_lending_rate_total_pct
2022-05,7.34,nfc_new_lending_rate_total_pct
2022-06,7.75,nfc_new_lending_rate_total_pct
2022-07,8.86,nfc_new_lending_rate_total_pct
2022-08,9.59,nfc_new_lending_rate_total_pct
2022-09,9.82,nfc_new_lending_rate_total_pct
2022-10,10.28,nfc_new_lending_rate_total_pct
2022-11,10.3,nfc_new_lending_rate_total_pct
2022-12,9.93,nfc_new_lending_rate_total_pct
2023-01,9.59,nfc_new_lending_rate_total_pct
2023-02,9.57,nfc_new_lending_rate_total_pct
2023-04,9.12,nfc_new_lending_rate_total_pct
2023-05,9.29,nfc_new_lending_rate_total_pct
2023-06,9.06,nfc_new_lending_rate_total_pct
2023-07,8.7,nfc_new_lending_rate_total_pct
2023-08,8.58,nfc_new_lending_rate_total_pct
2023-09,8.92,nfc_new_lending_rate_total_pct
2023-10,8.72,nfc_new_lending_rate_total_pct
2023-11,8.77,nfc_new_lending_rate_total_pct
2024-01,8.74,nfc_new_lending_rate_total_pct
2024-02,8.79,nfc_new_lending_rate_total_pct
2024-06,8.15,nfc_new_lending_rate_total_pct
2024-07,8.0,nfc_new_lending_rate_total_pct
2024-08,7.84,nfc_new_lending_rate_total_pct
2024-09,7.96,nfc_new_lending_rate_total_pct
2024-10,8.17,nfc_new_lending_rate_total_pct
2024-11,7.95,nfc_new_lending_rate_total_pct
2025-01,8.14,nfc_new_lending_rate_total_pct
2025-02,8.85,nfc_new_lending_rate_total_pct
2025-03,8.83,nfc_new_lending_rate_total_pct
2025-05,9.18,nfc_new_lending_rate_total_pct
2025-06,9.18,nfc_new_lending_rate_total_pct
2025-07,9.01,nfc_new_lending_rate_total_pct
2025-08,9.18,nfc_new_lending_rate_total_pct
2025-09,9.32,nfc_new_lending_rate_total_pct
2025-10,9.18,nfc_new_lending_rate_total_pct
2025-11,8.76,nfc_new_lending_rate_total_pct
2025-12,8.57,nfc_new_lending_rate_total_pct
2026-01,8.64,nfc_new_lending_rate_total_pct
2026-02,8.83,nfc_new_lending_rate_total_pct
2026-03,8.62,nfc_new_lending_rate_total_pct
2026-04,8.48,nfc_new_lending_rate_total_pct
2026-05,8.62,nfc_new_lending_rate_total_pct
2026-06,8.48,nfc_new_lending_rate_total_pct
2026-07,8.31,nfc_new_lending_rate_total_pct
